Time,Petal.status,uv index,Date,Plant , Wet weight , Dry weight ,Petal size,water_cm2,tissue_cm2,water/dry wgt
15:00,open,6,15-Jun-22,1,120,18.4,12.693,8,1.45,5.52
15:00,open,6,15-Jun-22,2,154.9,21.9,10.365,12.83,2.11,6.07
15:00,open,6,15-Jun-22,3,48.9,6.2,11.183,3.82,0.55,6.89
15:00,open,6,15-Jun-22,4,58.3,9.5,5.173,9.43,1.84,5.14
14:00,open,6,23-Jun-22,5,50.4,6.1,NA,NA,NA,NA
14:00,open,6,23-Jun-22,6,50.5,7.8,4.751,8.99,1.64,5.47
14:00,open,6,23-Jun-22,7,67,9.4,6.341,9.08,1.48,6.13
14:00,open,6,23-Jun-22,8,45.6,7.9,4.875,7.73,1.62,4.77
14:00,open,6,23-Jun-22,9,100.5,16.4,7.369,11.41,2.23,5.13
14:00,open,6,23-Jun-22,10,57.6,8.8,4,12.2,2.2,5.55
14:00,open,6,23-Jun-22,11,48.6,8.2,6.115,6.61,1.34,4.93
14:00,open,6,23-Jun-22,12,95.3,14.7,6.293,12.81,2.34,5.48
14:00,open,6,23-Jun-22,13,37.6,6,3.602,8.77,1.67,5.27
14:00,open,6,23-Jun-22,14,59,9.2,7.578,6.57,1.21,5.41
14:00,open,6,23-Jun-22,15,58.8,9.3,3.485,14.2,2.67,5.32
14:00,open,6,23-Jun-22,16,81.4,14.3,5.081,13.21,2.81,4.69
14:00,open,6,23-Jun-22,17,68.2,8.9,4.209,14.09,2.11,6.66
14:00,open,6,23-Jun-22,18,69.2,9.5,4.889,12.21,1.94,6.28
14:00,open,6,23-Jun-22,19,60.4,9,3.365,15.27,2.67,5.71
14:00,open,6,23-Jun-22,20,67.4,9.7,7.277,7.93,1.33,5.95
14:00,open,6,23-Jun-22,21,33.4,6.3,2.86,9.48,2.2,4.3
14:00,open,6,23-Jun-22,22,50.8,7,4.225,10.37,1.66,6.26
14:00,open,6,23-Jun-22,23,79.7,10.9,5.597,12.29,1.95,6.31
14:00,open,6,23-Jun-22,24,36.5,5.9,3.757,8.14,1.57,5.19
14:00,open,6,23-Jun-22,25,75.6,11.9,NA,NA,NA,5.35
14:00,open,6,23-Jun-22,26,80.1,11.3,5.056,13.61,2.23,6.09
14:00,open,6,23-Jun-22,27,60.7,10.6,3.629,13.81,2.92,4.73
14:00,open,6,23-Jun-22,28,34.1,5.1,2.936,9.88,1.74,5.69
14:00,open,6,23-Jun-22,29,44,7.3,2.839,12.93,2.57,5.03
14:00,open,6,23-Jun-22,30,57.2,9.2,5.127,9.36,1.79,5.22
09:00,closed,3,28-Jun-22,31,97.8,11.7,7.209,11.94,1.62,7.36
09:00,closed,3,28-Jun-22,32,78.9,9.3,6.088,11.43,1.53,7.48
09:00,closed,3,28-Jun-22,33,40.9,6.8,2.669,12.78,2.55,5.01
09:00,closed,3,28-Jun-22,34,50.6,8.1,4.064,10.46,1.99,5.25
09:00,closed,3,28-Jun-22,35,79.1,10.4,5.216,13.17,1.99,6.61
09:00,closed,3,28-Jun-22,36,48.3,7.7,3.03,13.4,2.54,5.27
09:00,closed,3,28-Jun-22,37,108.3,15.2,5.689,16.36,2.67,6.13
09:00,closed,3,28-Jun-22,38,27.3,4.8,1.912,11.77,2.51,4.69
09:00,closed,3,28-Jun-22,39,97.1,15.6,5.962,13.67,2.62,5.22
09:00,closed,3,28-Jun-22,40,91.5,10.9,6.846,11.77,1.59,7.39
09:00,closed,3,28-Jun-22,41,67.3,8.7,4.925,11.9,1.77,6.74
09:00,closed,3,28-Jun-22,42,58.2,8.6,4.032,12.3,2.13,5.77
09:00,closed,3,28-Jun-22,43,101.1,13.8,9.388,9.3,1.47,6.33
09:00,closed,3,28-Jun-22,44,47,7.8,3.269,11.99,2.39,5.03
09:00,closed,3,28-Jun-22,45,58.9,9.1,5.133,9.7,1.77,5.47
09:00,closed,3,28-Jun-22,46,81.4,11.3,7.132,9.83,1.58,6.2
09:00,closed,3,28-Jun-22,47,58.3,8.6,4.548,10.93,1.89,5.78
09:00,closed,3,28-Jun-22,48,48.1,6.5,2.993,13.9,2.17,6.4
09:00,closed,3,28-Jun-22,49,45.3,6.2,5.606,6.97,1.11,6.31
09:00,closed,3,28-Jun-22,50,56.2,8.1,5.9,8.15,1.37,5.94
09:00,closed,3,28-Jun-22,51,47.9,7.4,3.641,11.12,2.03,5.47
09:00,closed,3,28-Jun-22,52,41.2,7.4,4.563,7.41,1.62,4.57
09:00,closed,3,28-Jun-22,53,35.1,6.4,2.91,9.86,2.2,4.48
09:00,closed,3,28-Jun-22,54,35.6,6.2,3.229,9.1,1.92,4.74
09:00,closed,3,28-Jun-22,55,58.9,9.1,4.615,10.79,1.97,5.47
09:00,closed,3,28-Jun-22,56,38.1,6.6,2.925,10.77,2.26,4.77
09:00,closed,3,28-Jun-22,57,34,5,2.512,11.54,1.99,5.8
09:00,closed,3,28-Jun-22,58,35.6,6.7,2.533,11.41,2.65,4.31
09:00,closed,3,28-Jun-22,59,47.6,8,3.418,11.59,2.34,4.95
09:00,closed,3,28-Jun-22,60,30.6,5.9,2.451,10.08,2.41,4.19