SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,15:46:18,11/15/22,Auto gsw,LI-COR Default,,1,,,-0.007522,2.914713,-0.007541,-0.082849,1.009198,1.011569,2.112179,1.102981,9.9214,9.898146,20.716114,0.441786,42.94,43.04,20.03,18.31,101.96,155.8,154.9,0.6,67,4.091,15:46:03,11/15/22,0.11,0.001,0.003,0.047,-0.016,-0.029,-0.059,1,150,0.005,2,2.489975,2.500701,1.644483,0.92869,0.332847,-0.019139,0.048329,0.165134,38.54084,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
2,15:47:22,11/15/22,Auto gsw,LI-COR Default,,2,,,-0.008303,2.917267,-0.008327,-0.100527,0.961492,0.964365,2.173401,1.211908,9.458798,9.430626,21.317411,0.441786,41.25,41.38,19.89,18.77,101.95,156.2,155.3,0.5,54,4.089,15:46:03,11/15/22,0.11,0.002,0.001,-9999,-0.001,-0.013,-9999,1,150,0.005,2,2.487543,2.498207,1.647134,0.929825,0.33467,-0.01262,0.055839,0.153553,37.555218,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
3,15:47:53,11/15/22,Auto gsw,LI-COR Default,,3,,,-0.009191,2.917335,-0.00922,-0.109515,0.964782,0.96791,2.157197,1.192415,9.494157,9.463468,21.159777,0.441786,41.59,41.73,19.81,18.65,101.95,156.2,155.4,0.5,56,4.088,15:46:03,11/15/22,0.11,0,0.002,0.044,-0.004,-0.007,-0.017,1,150,0.005,2,2.488083,2.498735,1.647204,0.929902,0.33571,-0.013065,0.05951,0.155493,37.292004,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
4,15:48:26,11/15/22,Auto gsw,LI-COR Default,,4,,,-0.005701,2.915879,-0.005712,-0.068799,0.952982,0.95495,2.162155,1.209173,9.367146,9.347842,21.208675,0.441786,41.29,41.38,19.73,18.68,101.95,156,155.1,0.5,48,4.088,15:46:03,11/15/22,0.11,-0.001,0.001,0.016,0.002,-0.006,-0.012,1,150,0.005,2,2.487577,2.498298,1.645691,0.929317,0.336799,-0.011758,0.063491,0.148595,37.074566,0.000127,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
5,15:48:50,11/15/22,Auto gsw,LI-COR Default,,5,,,0.088171,2.915381,0.085583,0.942484,0.968532,0.941567,2.074472,1.105939,9.235824,9.500327,20.348482,0.441786,42.13,40.96,19.67,18.02,101.95,155.9,155.5,0.3,42,4.087,15:46:03,11/15/22,0.11,0,-0.001,-9999,-0.002,-0.004,-9999,1,150,0.005,2,2.486972,2.499578,1.645175,0.930163,0.337675,-0.018248,0.066414,0.143441,36.944031,0.000128,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
6,15:49:06,11/15/22,Auto gsw,LI-COR Default,,6,,,0.12271,2.915705,0.117754,1.279272,0.974537,0.937948,2.065567,1.09103,9.200368,9.559278,20.261238,0.441786,42.5,40.9,19.63,17.96,101.95,156,155.6,0.3,39,4.087,15:46:03,11/15/22,0.11,-0.002,-0.003,-9999,-0.002,-0.003,-9999,1,150,0.005,2,2.486894,2.500133,1.645511,0.930437,0.338207,-0.018554,0.068248,0.140358,36.870003,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
7,15:49:23,11/15/22,Auto gsw,LI-COR Default,,7,,,0.156011,2.915394,0.148087,1.562201,0.974384,0.929693,2.033944,1.059559,9.119664,9.55806,19.951626,0.441786,42.6,40.65,19.59,17.71,101.94,155.9,155.4,0.3,36,4.086,15:46:03,11/15/22,0.11,0,0.001,0.057,0,-0.004,-0.007,1,150,0.005,2,2.486527,2.500302,1.645188,0.930099,0.338786,-0.020739,0.070249,0.138228,36.795975,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
8,15:49:37,11/15/22,Auto gsw,LI-COR Default,,8,,,0.092355,2.917028,0.089521,1.021309,0.958695,0.92951,2.104285,1.14559,9.117646,9.403929,20.641123,0.441786,42.01,40.73,19.55,18.25,101.95,156.1,155.3,0.5,36,4.086,15:46:03,11/15/22,0.11,-0.001,-0.001,0.036,-0.001,-0.005,-0.005,1,150,0.005,2,2.486655,2.499418,1.646885,0.929692,0.339262,-0.014464,0.071875,0.138295,36.743759,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
9,15:50:35,11/15/22,Auto gsw,LI-COR Default,,9,,,-0.010028,2.915284,-0.010062,-0.110307,0.900278,0.903436,2.002016,1.101738,8.861411,8.830431,19.636896,0.441786,39.76,39.9,19.42,17.46,101.95,155.9,155.4,0.3,57,4.086,15:46:03,11/15/22,0.11,0,0.001,0.043,0,-0.002,-0.004,1,150,0.005,2,2.485442,2.496055,1.645075,0.92998,0.340995,-0.021651,0.078533,0.156609,36.524536,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
10,15:50:53,11/15/22,Auto gsw,LI-COR Default,,10,,,-0.005095,2.916883,-0.005104,-0.060053,0.906806,0.908524,2.088711,1.181905,8.910766,8.893922,20.485996,0.441786,40.14,40.22,19.39,18.13,101.96,156.1,155.3,0.5,58,4.085,15:46:03,11/15/22,0.11,0.001,0.003,-9999,0,0.002,-9999,1,150,0.005,2,2.485921,2.496635,1.646735,0.929686,0.341488,-0.013935,0.080599,0.157054,36.484482,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
11,15:51:05,11/15/22,Auto gsw,LI-COR Default,,11,,,-0.008132,2.915908,-0.008155,-0.089822,0.900775,0.903345,2.007709,1.106934,8.860345,8.835131,19.692348,0.441786,39.94,40.05,19.36,17.51,101.95,156,155.2,0.5,62,4.085,15:46:03,11/15/22,0.11,0,0.002,-9999,-0.002,-0.003,-9999,1,150,0.005,2,2.485683,2.496336,1.645721,0.929484,0.341853,-0.020466,0.082027,0.160175,36.459805,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
12,15:51:20,11/15/22,Auto gsw,LI-COR Default,,12,,,-0.007537,2.913949,-0.007557,-0.089717,0.893682,0.896254,2.086394,1.192711,8.7909,8.765675,20.464373,0.441786,39.7,39.82,19.33,18.12,101.95,155.7,155.2,0.3,59,4.084,15:46:03,11/15/22,0.11,0,0.003,-9999,0,-0.002,-9999,1,150,0.005,2,2.485337,2.495986,1.643693,0.929609,0.34229,-0.013475,0.083721,0.157802,36.419033,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
13,15:51:39,11/15/22,Auto gsw,LI-COR Default,,13,,,0.065506,2.915377,0.064067,0.714509,0.925246,0.904793,2.045728,1.120482,8.874548,9.075158,20.06526,0.441786,41.2,40.29,19.29,17.8,101.95,155.9,155.2,0.5,43,4.084,15:46:03,11/15/22,0.11,-0.001,-0.001,-9999,0,-0.002,-9999,1,150,0.005,2,2.486058,2.498263,1.645171,0.929492,0.342817,-0.016454,0.085763,0.143707,36.360741,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
14,15:52:11,11/15/22,Auto gsw,LI-COR Default,,14,,,0.032454,2.9152,0.032097,0.37749,0.913788,0.902979,2.095172,1.181385,8.856688,8.962701,20.55007,0.441786,40.86,40.38,19.23,18.18,101.95,155.9,155.6,0.2,51,4.083,15:46:03,11/15/22,0.11,0,0.002,-9999,-0.004,-0.003,-9999,1,150,0.005,2,2.486197,2.497758,1.644988,0.930515,0.34372,-0.011585,0.089349,0.151161,36.278488,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
15,15:52:23,11/15/22,Auto gsw,LI-COR Default,,15,,,0.097677,2.914728,0.094509,1.042453,0.912297,0.882438,2.020648,1.108351,8.655578,8.948451,19.819937,0.441786,40.86,39.52,19.2,17.61,101.95,155.8,155.6,0.2,46,4.083,15:46:03,11/15/22,0.11,-0.002,-0.002,-9999,-0.001,-0.005,-9999,1,150,0.005,2,2.484924,2.497766,1.644498,0.93046,0.344088,-0.017553,0.090665,0.146818,36.234497,0.000128,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z
16,15:52:40,11/15/22,Auto gsw,LI-COR Default,,16,,,0.071464,2.915891,0.069755,0.794971,0.910089,0.887339,2.055078,1.144989,8.703689,8.926834,20.157749,0.441786,40.85,39.83,19.16,17.88,101.95,156,155.4,0.4,49,4.083,15:46:03,11/15/22,0.11,-0.002,-0.003,-9999,-0.004,-0.001,-9999,1,150,0.005,2,2.485394,2.497761,1.645704,0.929917,0.344581,-0.014241,0.09248,0.14911,36.191582,0.000128,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,2.0.0,2020-08-19T15:15:59.596Z