site,plant,flower,time,weight,area
cojo,1,1,1,0.02591,3.084
cojo,1,1,2,0.02155,3.525
cojo,1,1,3,0.02023,2.437
cojo,2,1,1,0.01555,2.326
cojo,2,1,2,0.01175,1.252
cojo,2,1,3,0.01077,1.47
cojo,3,1,1,0.00796,1.335
cojo,3,1,2,0.00532,
cojo,3,1,3,0.00459,1.191
cojo,4,1,1,0.01497,2.014
cojo,4,1,2,0.01015,1.549
cojo,4,1,3,0.00834,1.13
cojo,5,1,1,0.03906,4.964
cojo,5,1,2,0.03181,2.476
cojo,5,1,3,0.02795,3.026
cojo,6,1,1,0.03385,4.69
cojo,6,1,2,0.02822,1.345
cojo,6,1,3,0.02604,3.382
cojo,7,1,1,0.03107,4.094
cojo,7,1,2,0.02176,1.734
cojo,7,1,3,0.01858,1.957
cojo,8,1,1,0.01766,2.529
cojo,8,1,2,0.01593,2.329
cojo,8,1,3,0.01558,2.261
cojo,9,1,1,0.02901,3.438
cojo,9,1,2,0.01046,2.335
cojo,9,1,3,0.00842,1.578
cojo,10,1,1,0.01441,2.045
cojo,10,1,2,0.00968,3.905
cojo,10,1,3,0.00745,2.045
cojo,11,1,1,0.01067,1.639
cojo,11,1,2,0.00858,1.252
cojo,11,1,3,0.00755,0.975