Weather 1,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
1,3/5/25 20:36,22.5,47,10.6,,065051692
2,3/5/25 21:06,21,48.5,9.7,,
3,3/5/25 21:36,20.5,49,9.4,,
4,3/5/25 22:06,20,49.5,9.1,,
5,3/5/25 22:36,19.5,49,8.5,,
6,3/5/25 23:06,20,48.5,8.8,,
7,3/5/25 23:36,19,49,8.1,,
8,3/6/25 00:06,19,49.5,8.2,,
9,3/6/25 00:36,18.5,50,7.9,,
10,3/6/25 01:06,18,50,7.4,,
11,3/6/25 01:36,18,50,7.4,,
12,3/6/25 02:06,18,50.5,7.6,,
13,3/6/25 02:36,17.5,50.5,7.1,,
14,3/6/25 03:06,17.5,50.5,7.1,,
15,3/6/25 03:36,17.5,50.5,7.1,,
16,3/6/25 04:06,17,50.5,6.7,,
17,3/6/25 04:36,17,51,6.8,,
18,3/6/25 05:06,17,51,6.8,,
19,3/6/25 05:36,17,51,6.8,,
20,3/6/25 06:06,16.5,51,6.3,,
21,3/6/25 06:36,16.5,51,6.3,,
22,3/6/25 07:06,17,50.5,6.7,,
23,3/6/25 07:36,17,51.5,6.9,,
24,3/6/25 08:06,20,47.5,8.5,,
25,3/6/25 08:36,20.5,44.5,8,,
26,3/6/25 09:06,20.5,45,8.2,,
27,3/6/25 09:36,21,43,8,,
28,3/6/25 10:06,12.5,59,4.7,,
29,3/6/25 10:36,12,66,5.9,,
30,3/6/25 11:06,11,73.5,6.5,,
31,3/6/25 11:36,10.5,78,6.8,,
32,3/6/25 12:06,9.5,80,6.2,,
33,3/6/25 12:36,10.5,79,7,,
34,3/6/25 13:06,11,78,7.3,,
35,3/6/25 13:36,11,78.5,7.4,,
36,3/6/25 14:06,10,75.5,5.9,,
37,3/6/25 14:36,13,63.5,6.2,,
38,3/6/25 15:06,14.5,64.5,7.9,,
39,3/6/25 15:36,13.5,59.5,5.8,,
40,3/6/25 16:06,11,67.5,5.2,,
41,3/6/25 16:36,10.5,69.5,5.2,,
42,3/6/25 17:06,9.5,74,5.1,,
43,3/6/25 17:36,9,79,5.6,,
44,3/6/25 18:06,8.5,81.5,5.5,,
45,3/6/25 18:36,6.5,83,3.8,,
46,3/6/25 19:06,7,84.5,4.6,,
47,3/6/25 19:36,7.5,82.5,4.7,,
48,3/6/25 20:06,8,81,4.9,,
49,3/6/25 20:36,8,82.5,5.2,,
50,3/6/25 21:06,8,82,5.1,,
51,3/6/25 21:36,8,82.5,5.2,,
52,3/6/25 22:06,8,84,5.5,,
53,3/6/25 22:36,8,83.5,5.4,,
54,3/6/25 23:06,7.5,85.5,5.2,,
55,3/6/25 23:36,8,85.5,5.7,,
56,3/7/25 00:06,8.5,85,6.1,,
57,3/7/25 00:36,8.5,84.5,6,,
58,3/7/25 01:06,8.5,82,5.6,,
59,3/7/25 01:36,8,80.5,4.9,,
60,3/7/25 02:06,8.5,80,5.3,,
61,3/7/25 02:36,8.5,79,5.1,,
62,3/7/25 03:06,8,79.5,4.7,,
63,3/7/25 03:36,8.5,81.5,5.5,,
64,3/7/25 04:06,8.5,79.5,5.2,,
65,3/7/25 04:36,8.5,78.5,5,,
66,3/7/25 05:06,8.5,77.5,4.8,,
67,3/7/25 05:36,8,81,4.9,,
68,3/7/25 06:06,8,81.5,5,,
69,3/7/25 06:36,8,81.5,5,,
70,3/7/25 07:06,10.5,74.5,6.2,,
71,3/7/25 07:36,12.5,68,6.8,,
72,3/7/25 08:06,14,66.5,7.9,,
73,3/7/25 08:36,15.5,61.5,8.1,,
74,3/7/25 09:06,17,56.5,8.3,,
75,3/7/25 09:36,17.5,55,8.4,,
76,3/7/25 10:06,18,54.5,8.7,,
77,3/7/25 10:36,19,54,9.5,,
78,3/7/25 11:06,19.5,52,9.4,,
79,3/7/25 11:36,19,54,9.5,,
80,3/7/25 12:06,19,53.5,9.4,,
81,3/7/25 12:36,19.5,52,9.4,,
82,3/7/25 13:06,19,52,8.9,,
83,3/7/25 13:36,19.5,51.5,9.2,,
84,3/7/25 14:06,19,52.5,9.1,,
85,3/7/25 14:36,18.5,52.5,8.6,,
86,3/7/25 15:06,18,54.5,8.7,,
87,3/7/25 15:36,16.5,58,8.2,,
88,3/7/25 16:06,14,65.5,7.6,,
89,3/7/25 16:36,13,68.5,7.3,,
90,3/7/25 17:06,12.5,71.5,7.5,,
91,3/7/25 17:36,12,71,6.9,,
92,3/7/25 18:06,10.5,75.5,6.4,,
93,3/7/25 18:36,10,77,6.2,,
94,3/7/25 19:06,9.5,78.5,6,,
95,3/7/25 19:36,9.5,82,6.6,,
96,3/7/25 20:06,9.5,80.5,6.3,,
97,3/7/25 20:36,9.5,82,6.6,,
98,3/7/25 21:06,8,84,5.5,,
99,3/7/25 21:36,8.5,83,5.8,,
100,3/7/25 22:06,7.5,90,6,,
101,3/7/25 22:36,9,85,6.6,,
102,3/7/25 23:06,9.5,81,6.4,,
103,3/7/25 23:36,9.5,77.5,5.8,,
104,3/8/25 00:06,9,75,4.8,,
105,3/8/25 00:36,9.5,71,4.5,,
106,3/8/25 01:06,9.5,68.5,4,,
107,3/8/25 01:36,10.5,62,3.5,,
108,3/8/25 02:06,11,58.5,3.2,,
109,3/8/25 02:36,10.5,59.5,3,,
110,3/8/25 03:06,10.5,54,1.6,,
111,3/8/25 03:36,8,63,1.4,,
112,3/8/25 04:06,10.5,50.5,0.7,,
113,3/8/25 04:36,8,61.5,1.1,,
114,3/8/25 05:06,7,64,0.7,,
115,3/8/25 05:36,5.5,69.5,0.4,,
116,3/8/25 06:06,4.5,69,-0.7,,
117,3/8/25 06:36,4.5,69,-0.7,,
118,3/8/25 07:06,11.5,48.5,1,,
119,3/8/25 07:36,16,39,2.1,,
120,3/8/25 08:06,16,46.5,4.6,,
121,3/8/25 08:36,17,45.5,5.2,,
122,3/8/25 09:06,16.5,52,6.6,,
123,3/8/25 09:36,16,56,7.2,,
124,3/8/25 10:06,17,55,7.9,,
125,3/8/25 10:36,18.5,51,8.2,,
126,3/8/25 11:06,19,40.5,5.3,,
127,3/8/25 11:36,18.5,44,6,,
128,3/8/25 12:06,20,38,5.3,,
129,3/8/25 12:36,20.5,33.5,3.9,,
130,3/8/25 13:06,20.5,34.5,4.3,,
131,3/8/25 13:36,20,35,4.1,,
132,3/8/25 14:06,21,35.5,5.2,,
133,3/8/25 14:36,21,26,0.8,,
134,3/8/25 15:06,20.5,37,5.3,,
135,3/8/25 15:36,20,35,4.1,,
136,3/8/25 16:06,16.5,47.5,5.3,,
137,3/8/25 16:36,16,45,4.1,,
138,3/8/25 17:06,14,50.5,3.9,,
139,3/8/25 17:36,12,57.5,3.9,,
140,3/8/25 18:06,10.5,68,4.9,,
141,3/8/25 18:36,8.5,60.5,1.3,,
142,3/8/25 19:06,7,62,0.2,,
143,3/8/25 19:36,7.5,57.5,-0.3,,
144,3/8/25 20:06,6.5,64.5,0.3,,
145,3/8/25 20:36,6.5,61,-0.5,,
146,3/8/25 21:06,7,55.5,-1.3,,
147,3/8/25 21:36,8,52,-1.2,,
148,3/8/25 22:06,7.5,55.5,-0.8,,
149,3/8/25 22:36,8,55.5,-0.4,,
150,3/8/25 23:06,7,62,0.2,,
151,3/8/25 23:36,6,66.5,0.2,,
152,3/9/25 00:06,5,68,-0.4,,
153,3/9/25 00:36,5.5,66,-0.3,,
154,3/9/25 01:06,4.5,69.5,-0.6,,
155,3/9/25 01:36,3.5,72,-1.1,,
156,3/9/25 02:06,3,75,-1,,
157,3/9/25 02:36,3,79.5,-0.2,,
158,3/9/25 03:06,4,91.5,2.7,,
159,3/9/25 03:36,7,70.5,2,,
160,3/9/25 04:06,7.5,85,5.1,,
161,3/9/25 04:36,7.5,86,5.3,,
162,3/9/25 05:06,6.5,90,5,,
163,3/9/25 05:36,7,94.5,6.2,,
164,3/9/25 06:06,7.5,94,6.6,,
165,3/9/25 06:36,7.5,95,6.8,,
166,3/9/25 07:06,8.5,93,7.4,,
167,3/9/25 07:36,13,77.5,9.2,,
168,3/9/25 08:06,13.5,74,9,,
169,3/9/25 08:36,13.5,74,9,,
170,3/9/25 09:06,11.5,80.5,8.3,,
171,3/9/25 09:36,14.5,71,9.3,,
172,3/9/25 10:06,19,57,10.3,,
173,3/9/25 10:36,18.5,56,9.6,,
174,3/9/25 11:06,19,52.5,9.1,,
175,3/9/25 11:36,20,50.5,9.4,,
176,3/9/25 12:06,20,48.5,8.8,,
177,3/9/25 12:36,20,49.5,9.1,,
178,3/9/25 13:06,20,49.5,9.1,,
179,3/9/25 13:36,19.5,50.5,9,,
180,3/9/25 14:06,19,52.5,9.1,,
181,3/9/25 14:36,18,55,8.8,,
182,3/9/25 15:06,18.5,53,8.7,,
183,3/9/25 15:36,18,53.5,8.4,,
184,3/9/25 16:06,14.5,54.5,5.4,,
185,3/9/25 16:36,14,52,4.3,,
186,3/9/25 17:06,13,60.5,5.5,,
187,3/9/25 17:36,11.5,69,6,,
188,3/9/25 18:06,10,73,5.4,,
189,3/9/25 18:36,8.5,70,3.4,,
190,3/9/25 19:06,8.5,75.5,4.4,,
191,3/9/25 19:36,7.5,78,3.9,,
192,3/9/25 20:06,6.5,82.5,3.7,,
193,3/9/25 20:36,5.5,85.5,3.3,,
194,3/9/25 21:06,5.5,84.5,3.1,,
195,3/9/25 21:36,5,83,2.4,,
196,3/9/25 22:06,4,85,1.7,,
197,3/9/25 22:36,4,77.5,0.4,,
198,3/9/25 23:06,3.5,71,-1.3,,
199,3/9/25 23:36,3,69.5,-2,,
200,3/10/25 00:06,3,71,-1.7,,
201,3/10/25 00:36,3,74,-1.2,,
202,3/10/25 01:06,2,78,-1.4,,
203,3/10/25 01:36,2,81.5,-0.8,,
204,3/10/25 02:06,4,81,1,,
205,3/10/25 02:36,5.5,91.5,4.2,,
206,3/10/25 03:06,6.5,86.5,4.4,,
207,3/10/25 03:36,7,76.5,3.2,,
208,3/10/25 04:06,6,73.5,1.6,,
209,3/10/25 04:36,5,73,0.6,,
210,3/10/25 05:06,3,80,-0.1,,
211,3/10/25 05:36,2,85.5,-0.2,,
212,3/10/25 06:06,2,86,-0.1,,
213,3/10/25 06:36,2.5,90.5,1.1,,
214,3/10/25 07:06,7.5,76,3.6,,
215,3/10/25 07:36,14,72,9,,
216,3/10/25 08:06,15.5,67.5,9.5,,
217,3/10/25 08:36,16,62.5,8.8,,
218,3/10/25 09:06,16.5,57,8,,
219,3/10/25 09:36,16,65,9.4,,
220,3/10/25 10:06,16,64.5,9.3,,
221,3/10/25 10:36,16,55,7,,
222,3/10/25 11:06,17,56,8.2,,
223,3/10/25 11:36,16.5,59,8.5,,
224,3/10/25 12:06,16,57,7.5,,
225,3/10/25 12:36,17,51.5,6.9,,
226,3/10/25 13:06,18.5,43,5.7,,
227,3/10/25 13:36,17.5,45.5,5.6,,
228,3/10/25 14:06,17,48,5.9,,
229,3/10/25 14:36,17,52.5,7.2,,
230,3/10/25 15:06,16.5,50,6.1,,
231,3/10/25 15:36,15.5,55.5,6.6,,
232,3/10/25 16:06,14.5,57.5,6.2,,
233,3/10/25 16:36,14,61,6.6,,
234,3/10/25 17:06,13,61.5,5.8,,
235,3/10/25 17:36,12.5,63.5,5.8,,
236,3/10/25 18:06,12,62,5,,
237,3/10/25 18:36,11.5,63,4.7,,
238,3/10/25 19:06,12,59.5,4.4,,
239,3/10/25 19:36,12,61,4.7,,
240,3/10/25 20:06,11,72,6.2,,
241,3/10/25 20:36,11,59,3.3,,
242,3/10/25 21:06,11.5,56,3,,
243,3/10/25 21:36,12,51.5,2.3,,
244,3/10/25 22:06,11.5,55.5,2.9,,
245,3/10/25 22:36,12,59,4.2,,
246,3/10/25 23:06,12,73.5,7.4,,
247,3/10/25 23:36,12,72,7.1,,
248,3/11/25 00:06,12.5,59.5,4.8,,
249,3/11/25 00:36,12.5,55.5,3.8,,
250,3/11/25 01:06,12,58.5,4.1,,
251,3/11/25 01:36,12,65.5,5.7,,
252,3/11/25 02:06,12,66,5.9,,
253,3/11/25 02:36,12,67,6.1,,
254,3/11/25 03:06,11.5,75,7.2,,
255,3/11/25 03:36,11.5,69.5,6.1,,
256,3/11/25 04:06,11.5,66,5.4,,
257,3/11/25 04:36,12.5,62,5.4,,
258,3/11/25 05:06,11.5,72.5,6.7,,
259,3/11/25 05:36,11,73.5,6.5,,
260,3/11/25 06:06,10.5,77.5,6.7,,
261,3/11/25 06:36,9.5,86.5,7.4,,
262,3/11/25 07:06,9.5,89,7.8,,
263,3/11/25 07:36,9.5,86,7.3,,
264,3/11/25 08:06,10.5,84.5,8,,
265,3/11/25 08:36,11,81.5,8,,
266,3/11/25 09:06,11.5,78,7.8,,
267,3/11/25 09:36,13,74,8.5,,
268,3/11/25 10:06,13.5,71,8.4,,
269,3/11/25 10:36,14.5,69,8.9,,
270,3/11/25 11:06,16,68,10.1,,
271,3/11/25 11:36,15.5,68.5,9.7,,
272,3/11/25 12:06,16,67.5,10,,
273,3/11/25 12:36,16,65.5,9.5,,
274,3/11/25 13:06,16,63.5,9.1,,
275,3/11/25 13:36,16,62,8.7,,
276,3/11/25 14:06,17,59,8.9,,
277,3/11/25 14:36,17,61.5,9.6,,
278,3/11/25 15:06,16.5,63,9.4,,
279,3/11/25 15:36,16.5,63,9.4,,
280,3/11/25 16:06,14.5,68,8.7,,
281,3/11/25 16:36,14,68.5,8.3,,
282,3/11/25 17:06,14,68.5,8.3,,
283,3/11/25 17:36,13.5,70.5,8.2,,
284,3/11/25 18:06,12.5,74.5,8.1,,
285,3/11/25 18:36,12,75,7.7,,
286,3/11/25 19:06,11.5,76,7.4,,
287,3/11/25 19:36,11,78.5,7.4,,
288,3/11/25 20:06,10.5,81,7.4,,
289,3/11/25 20:36,10.5,81,7.4,,
290,3/11/25 21:06,11.5,78,7.8,,
291,3/11/25 21:36,11.5,75.5,7.3,,
292,3/11/25 22:06,11,76.5,7,,
293,3/11/25 22:36,11,77,7.1,,
294,3/11/25 23:06,10,80,6.7,,
295,3/11/25 23:36,9,84.5,6.5,,
296,3/12/25 00:06,8.5,86.5,6.4,,
297,3/12/25 00:36,8.5,86,6.3,,
298,3/12/25 01:06,8,88.5,6.2,,
299,3/12/25 01:36,7,91,5.6,,
300,3/12/25 02:06,7,91,5.6,,
301,3/12/25 02:36,7,93.5,6,,
302,3/12/25 03:06,8,94,7.1,,
303,3/12/25 03:36,9,93,7.9,,
304,3/12/25 04:06,10.5,88,8.6,,
305,3/12/25 04:36,10.5,88,8.6,,
306,3/12/25 05:06,11,86,8.8,,
307,3/12/25 05:36,10.5,87,8.4,,
308,3/12/25 06:06,10.5,86.5,8.3,,
309,3/12/25 06:36,11,87.5,9,,
310,3/12/25 07:06,11.5,89.5,9.8,,
311,3/12/25 07:36,12,90,10.4,,
312,3/12/25 08:06,12.5,89,10.7,,
313,3/12/25 08:36,12.5,90,10.9,,
314,3/12/25 09:06,13,89,11.2,,
315,3/12/25 09:36,14.5,82.5,11.6,,
316,3/12/25 10:06,14.5,83.5,11.7,,
317,3/12/25 10:36,17.5,76,13.2,,
318,3/12/25 11:06,14.5,81.5,11.4,,
319,3/12/25 11:36,14.5,80,11.1,,
320,3/12/25 12:06,16,75,11.6,,
321,3/12/25 12:36,16,76.5,11.9,,
322,3/12/25 13:06,18,71,12.7,,
323,3/12/25 13:36,16.5,76,12.3,,
324,3/12/25 14:06,16,76.5,11.9,,
325,3/12/25 14:36,14.5,81,11.3,,
326,3/12/25 15:06,14,84.5,11.4,,
327,3/12/25 15:36,14,80.5,10.7,,
328,3/12/25 16:06,13.5,81.5,10.4,,
329,3/12/25 16:36,13,82.5,10.1,,
330,3/12/25 17:06,13,88,11.1,,
331,3/12/25 17:36,12.5,89,10.7,,
332,3/12/25 18:06,12.5,93.5,11.5,,
333,3/12/25 18:36,12.5,95,11.7,,
334,3/12/25 19:06,12.5,94.5,11.6,,
335,3/12/25 19:36,11,94,10.1,,
336,3/12/25 20:06,10,93,8.9,,
337,3/12/25 20:36,9.5,94,8.6,,
338,3/12/25 21:06,9.5,94.5,8.7,,
339,3/12/25 21:36,9.5,95,8.7,,
340,3/12/25 22:06,9.5,95.5,8.8,,
341,3/12/25 22:36,9,95.5,8.3,,
342,3/12/25 23:06,9,97,8.5,,
343,3/12/25 23:36,8.5,97.5,8.1,,
344,3/13/25 00:06,8.5,96,7.9,,
345,3/13/25 00:36,8.5,97,8.1,,
346,3/13/25 01:06,8.5,97,8.1,,
347,3/13/25 01:36,8.5,97,8.1,,
348,3/13/25 02:06,8,97.5,7.6,,
349,3/13/25 02:36,8,98,7.7,,
350,3/13/25 03:06,7.5,98,7.2,,
351,3/13/25 03:36,7,98,6.7,,
352,3/13/25 04:06,7,98.5,6.8,,
353,3/13/25 04:36,7.5,99.5,7.4,,
354,3/13/25 05:06,8,98,7.7,,
355,3/13/25 05:36,7,96,6.4,,
356,3/13/25 06:06,7,93.5,6,,
357,3/13/25 06:36,7.5,94.5,6.7,,
358,3/13/25 07:06,11,86,8.8,,
359,3/13/25 07:36,11.5,80,8.2,,
360,3/13/25 08:06,13.5,76,9.4,,
361,3/13/25 08:36,14,70,8.6,,
362,3/13/25 09:06,15.5,69.5,10,,
363,3/13/25 09:36,14,74,9.4,,
364,3/13/25 10:06,16,63.5,9.1,,
365,3/13/25 10:36,13.5,76,9.4,,
366,3/13/25 11:06,17,57.5,8.6,,
367,3/13/25 11:36,15.5,59.5,7.7,,
368,3/13/25 12:06,18,52,8,,
369,3/13/25 12:36,15,74.5,10.5,,
370,3/13/25 13:06,17,62.5,9.8,,
371,3/13/25 13:36,16.5,53.5,7,,
372,3/13/25 14:06,16,62,8.7,,
373,3/13/25 14:36,16.5,59,8.5,,
374,3/13/25 15:06,12,68,6.3,,
375,3/13/25 15:36,14.5,64.5,7.9,,
376,3/13/25 16:06,13,67,7,,
377,3/13/25 16:36,12,65,5.6,,
378,3/13/25 17:06,11.5,65.5,5.3,,
379,3/13/25 17:36,11,70,5.7,,
380,3/13/25 18:06,9.5,70,4.3,,
381,3/13/25 18:36,8.5,73.5,4,,
382,3/13/25 19:06,7.5,78.5,4,,
383,3/13/25 19:36,7.5,80.5,4.4,,
384,3/13/25 20:06,7,83,4.3,,
385,3/13/25 20:36,6.5,84,4,,
386,3/13/25 21:06,6.5,83.5,3.9,,
387,3/13/25 21:36,6.5,84.5,4.1,,
388,3/13/25 22:06,6,87.5,4.1,,
389,3/13/25 22:36,5.5,93,4.5,,
390,3/13/25 23:06,7,89,5.3,,
391,3/13/25 23:36,7,88,5.2,,
392,3/14/25 00:06,6.5,90.5,5.1,,
393,3/14/25 00:36,7,88.5,5.2,,
394,3/14/25 01:06,7,89.5,5.4,,
395,3/14/25 01:36,7,86.5,4.9,,
396,3/14/25 02:06,6.5,88.5,4.7,,
397,3/14/25 02:36,6,90.5,4.6,,
398,3/14/25 03:06,6,93,5,,
399,3/14/25 03:36,7.5,94.5,6.7,,
400,3/14/25 04:06,7.5,95,6.8,,
401,3/14/25 04:36,7.5,96,6.9,,
402,3/14/25 05:06,7.5,96,6.9,,
403,3/14/25 05:36,8,94,7.1,,
404,3/14/25 06:06,7.5,93.5,6.5,,
405,3/14/25 06:36,7.5,95,6.8,,
406,3/14/25 07:06,7.5,96.5,7,,
