Weather 1,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
802,3/22/25 13:06,27.5,35.5,10.9,,
803,3/22/25 13:36,24,39.5,9.4,,
804,3/22/25 14:06,24.5,37.5,9.1,,
805,3/22/25 14:36,23,40.5,8.9,,
806,3/22/25 15:06,23.5,40.5,9.3,,
807,3/22/25 15:36,21,46.5,9.1,,
808,3/22/25 16:06,19,48.5,7.9,,
809,3/22/25 16:36,17.5,55.5,8.5,,
810,3/22/25 17:06,16,61,8.5,,
811,3/22/25 17:36,16,58,7.7,,
812,3/22/25 18:06,16.5,54.5,7.3,,
813,3/22/25 18:36,15.5,56.5,6.9,,
814,3/22/25 19:06,15.5,58,7.3,,
815,3/22/25 19:36,14.5,63.5,7.7,,
816,3/22/25 20:06,13.5,68,7.7,,
817,3/22/25 20:36,13,68.5,7.3,,
818,3/22/25 21:06,12.5,73,7.8,,
819,3/22/25 21:36,12,79,8.5,,
820,3/22/25 22:06,11.5,79.5,8.1,,
821,3/22/25 22:36,11.5,79.5,8.1,,
822,3/22/25 23:06,13,72.5,8.2,,
823,3/22/25 23:36,13,71,7.9,,
824,3/23/25 00:06,13,69.5,7.6,,
825,3/23/25 00:36,11.5,78,7.8,,
826,3/23/25 01:06,12,76.5,8,,
827,3/23/25 01:36,12,77,8.1,,
828,3/23/25 02:06,12,77.5,8.2,,
829,3/23/25 02:36,12.5,73,7.8,,
830,3/23/25 03:06,11.5,79,8,,
831,3/23/25 03:36,11.5,79,8,,
832,3/23/25 04:06,11.5,80,8.2,,
833,3/23/25 04:36,11,80,7.7,,
834,3/23/25 05:06,11,82,8,,
835,3/23/25 05:36,10.5,83.5,7.8,,
836,3/23/25 06:06,11.5,77.5,7.7,,
837,3/23/25 06:36,13.5,72.5,8.7,,
838,3/23/25 07:06,18,58.5,9.7,,
839,3/23/25 07:36,20,51,9.6,,
840,3/23/25 08:06,22,47,10.2,,
841,3/23/25 08:36,23.5,44.5,10.7,,
842,3/23/25 09:06,22,52,11.7,,
843,3/23/25 09:36,23,47.5,11.2,,
844,3/23/25 10:06,24,42,10.3,,
845,3/23/25 10:36,23.5,44.5,10.7,,
846,3/23/25 11:06,23.5,42.5,10,,
847,3/23/25 11:36,23,45.5,10.6,,
848,3/23/25 12:06,22.5,47.5,10.8,,
849,3/23/25 12:36,22,48,10.5,,
850,3/23/25 13:06,22,50,11.1,,
851,3/23/25 13:36,21.5,53,11.5,,
852,3/23/25 14:06,21,51,10.5,,
853,3/23/25 14:36,21,52.5,10.9,,
854,3/23/25 15:06,20.5,53,10.6,,
855,3/23/25 15:36,20,55,10.7,,
856,3/23/25 16:06,18.5,60.5,10.7,,
857,3/23/25 16:36,16,68,10.1,,
858,3/23/25 17:06,16,69,10.3,,
859,3/23/25 17:36,15.5,71,10.3,,
860,3/23/25 18:06,15,71,9.8,,
861,3/23/25 18:36,15,69,9.4,,
862,3/23/25 19:06,15,68.5,9.3,,
863,3/23/25 19:36,13,76,8.9,,
864,3/23/25 20:06,13,77,9.1,,
865,3/23/25 20:36,13,81,9.8,,
866,3/23/25 21:06,12.5,85,10,,
867,3/23/25 21:36,11,88.5,9.2,,
868,3/23/25 22:06,10.5,89.5,8.8,,
869,3/23/25 22:36,10.5,89.5,8.8,,
870,3/23/25 23:06,9.5,91.5,8.2,,
871,3/23/25 23:36,10.5,91.5,9.2,,
872,3/24/25 00:06,11.5,94.5,10.6,,
873,3/24/25 00:36,12.5,92.5,11.3,,
874,3/24/25 01:06,13,88,11.1,,
875,3/24/25 01:36,13.5,86,11.2,,
876,3/24/25 02:06,12.5,91.5,11.2,,
877,3/24/25 02:36,12,93.5,11,,
878,3/24/25 03:06,13.5,86.5,11.3,,
879,3/24/25 03:36,13,88,11.1,,
880,3/24/25 04:06,13,88,11.1,,
881,3/24/25 04:36,12.5,88.5,10.7,,
882,3/24/25 05:06,10.5,91.5,9.2,,
883,3/24/25 05:36,11,93,9.9,,
884,3/24/25 06:06,11,92,9.8,,
885,3/24/25 06:36,11,94,10.1,,
886,3/24/25 07:06,12,96.5,11.5,,
887,3/24/25 07:36,13,96,12.4,,
888,3/24/25 08:06,17,77.5,13,,
889,3/24/25 08:36,20,65.5,13.3,,
890,3/24/25 09:06,20.5,61.5,12.8,,
891,3/24/25 09:36,21.5,56.5,12.5,,
892,3/24/25 10:06,21,57.5,12.3,,
893,3/24/25 10:36,21.5,59,13.2,,
894,3/24/25 11:06,22,59,13.6,,
895,3/24/25 11:36,22.5,57,13.6,,
896,3/24/25 12:06,22.5,56,13.3,,
897,3/24/25 12:36,23,56.5,13.9,,
898,3/24/25 13:06,25,51.5,14.3,,
899,3/24/25 13:36,26,49.5,14.6,,
900,3/24/25 14:06,26,49,14.5,,
901,3/24/25 14:36,28.5,39.5,13.4,,
902,3/24/25 15:06,27.5,41,13.1,,
903,3/24/25 15:36,25.5,47.5,13.5,,
904,3/24/25 16:06,20.5,57.5,11.8,,
905,3/24/25 16:36,18,64.5,11.2,,
906,3/24/25 17:06,17,66,10.6,,
907,3/24/25 17:36,16,69,10.3,,
908,3/24/25 18:06,14.5,74.5,10,,
909,3/24/25 18:36,13.5,78.5,9.8,,
910,3/24/25 19:06,12.5,82,9.5,,
911,3/24/25 19:36,12,83.5,9.3,,
912,3/24/25 20:06,12.5,81.5,9.4,,
913,3/24/25 20:36,13.5,77.5,9.6,,
914,3/24/25 21:06,13,82.5,10.1,,
915,3/24/25 21:36,12.5,89,10.7,,
916,3/24/25 22:06,12.5,89.5,10.8,,
917,3/24/25 22:36,12,92,10.7,,
918,3/24/25 23:06,12.5,94,11.6,,
919,3/24/25 23:36,13,93,11.9,,
920,3/25/25 00:06,13,91,11.6,,
921,3/25/25 00:36,13.5,90.5,12,,
922,3/25/25 01:06,13,94,12.1,,
923,3/25/25 01:36,13,94,12.1,,
924,3/25/25 02:06,12.5,96.5,12,,
925,3/25/25 02:36,12,97,11.5,,
926,3/25/25 03:06,12,97.5,11.6,,
927,3/25/25 03:36,11.5,97.5,11.1,,
928,3/25/25 04:06,11.5,97.5,11.1,,
929,3/25/25 04:36,11.5,97.5,11.1,,
930,3/25/25 05:06,12,97.5,11.6,,
931,3/25/25 05:36,12,97,11.5,,
932,3/25/25 06:06,12,97,11.5,,
933,3/25/25 06:36,12,96.5,11.5,,
934,3/25/25 07:06,12.5,95.5,11.8,,
935,3/25/25 07:36,12.5,94.5,11.6,,
936,3/25/25 08:06,13,94,12.1,,
937,3/25/25 08:36,13,93,11.9,,
938,3/25/25 09:06,12.5,93.5,11.5,,
939,3/25/25 09:36,13.5,91.5,12.1,,
940,3/25/25 10:06,14,88.5,12.1,,
941,3/25/25 10:36,14.5,86.5,12.3,,
942,3/25/25 11:06,14.5,87,12.4,,
943,3/25/25 11:36,15,83.5,12.2,,
944,3/25/25 12:06,15,82.5,12,,
945,3/25/25 12:36,16,79.5,12.5,,
946,3/25/25 13:06,16.5,76.5,12.4,,
947,3/25/25 13:36,16.5,77,12.5,,
948,3/25/25 14:06,18,71.5,12.8,,
949,3/25/25 14:36,19.5,67,13.2,,
950,3/25/25 15:06,17.5,70,12,,
951,3/25/25 15:36,15.5,78,11.7,,
952,3/25/25 16:06,14.5,81,11.3,,
953,3/25/25 16:36,14,83,11.2,,
954,3/25/25 17:06,13.5,85,11,,
955,3/25/25 17:36,13,86.5,10.8,,
956,3/25/25 18:06,13,87,10.9,,
957,3/25/25 18:36,13,87.5,11,,
958,3/25/25 19:06,12.5,89,10.7,,
959,3/25/25 19:36,12.5,90,10.9,,
960,3/25/25 20:06,12.5,90,10.9,,
961,3/25/25 20:36,12.5,90,10.9,,
962,3/25/25 21:06,12.5,90.5,11,,
963,3/25/25 21:36,12.5,90.5,11,,
964,3/25/25 22:06,12.5,90.5,11,,
965,3/25/25 22:36,12.5,89.5,10.8,,
966,3/25/25 23:06,12.5,89,10.7,,
967,3/25/25 23:36,12.5,89,10.7,,
968,3/26/25 00:06,12.5,89,10.7,,
969,3/26/25 00:36,12.5,88.5,10.7,,
970,3/26/25 01:06,12.5,88.5,10.7,,
971,3/26/25 01:36,12.5,88,10.6,,
972,3/26/25 02:06,12.5,87.5,10.5,,
973,3/26/25 02:36,12.5,87,10.4,,
974,3/26/25 03:06,12.5,88,10.6,,
975,3/26/25 03:36,12,93,10.9,,
976,3/26/25 04:06,12,93,10.9,,
977,3/26/25 04:36,12,93.5,11,,
978,3/26/25 05:06,12,93.5,11,,
979,3/26/25 05:36,12,91.5,10.7,,
980,3/26/25 06:06,12.5,90,10.9,,
981,3/26/25 06:36,12.5,86,10.2,,
982,3/26/25 07:06,13,91.5,11.6,,
983,3/26/25 07:36,13,90,11.4,,
984,3/26/25 08:06,13.5,88.5,11.6,,
985,3/26/25 08:36,13.5,87,11.4,,
986,3/26/25 09:06,14.5,81.5,11.4,,
987,3/26/25 09:36,15.5,78,11.7,,
988,3/26/25 10:06,15,83.5,12.2,,
989,3/26/25 10:36,15.5,80.5,12.2,,
990,3/26/25 11:06,16,80.5,12.6,,
991,3/26/25 11:36,17,76,12.7,,
992,3/26/25 12:06,17.5,73,12.6,,
993,3/26/25 12:36,19,63,11.8,,
994,3/26/25 13:06,18.5,65,11.8,,
995,3/26/25 13:36,18,67.5,11.9,,
996,3/26/25 14:06,18,65.5,11.4,,
997,3/26/25 14:36,18,64,11.1,,
998,3/26/25 15:06,17,72,11.9,,
999,3/26/25 15:36,17.5,68,11.5,,
1000,3/26/25 16:06,16.5,69.5,10.9,,
1001,3/26/25 16:36,16,71,10.7,,
1002,3/26/25 17:06,15.5,71.5,10.4,,
1003,3/26/25 17:36,15,76,10.8,,
1004,3/26/25 18:06,14,78,10.2,,
1005,3/26/25 18:36,13,80,9.6,,
1006,3/26/25 19:06,13,82.5,10.1,,
1007,3/26/25 19:36,13,83,10.2,,
1008,3/26/25 20:06,13,83.5,10.3,,
1009,3/26/25 20:36,13,84.5,10.5,,
1010,3/26/25 21:06,11.5,86.5,9.3,,
1011,3/26/25 21:36,11.5,89.5,9.8,,
1012,3/26/25 22:06,11,89,9.3,,
1013,3/26/25 22:36,11,90.5,9.5,,
1014,3/26/25 23:06,10,91.5,8.7,,
1015,3/26/25 23:36,9.5,93.5,8.5,,
1016,3/27/25 00:06,9.5,95,8.7,,
1017,3/27/25 00:36,10.5,94,9.6,,
1018,3/27/25 01:06,11,91.5,9.7,,
1019,3/27/25 01:36,10,93,8.9,,
1020,3/27/25 02:06,10,95,9.2,,
1021,3/27/25 02:36,10,93.5,9,,
1022,3/27/25 03:06,10.5,93.5,9.5,,
1023,3/27/25 03:36,10.5,91.5,9.2,,
1024,3/27/25 04:06,10.5,92.5,9.3,,
1025,3/27/25 04:36,10.5,92.5,9.3,,
1026,3/27/25 05:06,11,91.5,9.7,,
1027,3/27/25 05:36,10,93.5,9,,
1028,3/27/25 06:06,10,94,9.1,,
1029,3/27/25 06:36,11,93.5,10,,
1030,3/27/25 07:06,13.5,88,11.6,,
1031,3/27/25 07:36,15,81.5,11.9,,
1032,3/27/25 08:06,16,80.5,12.6,,
1033,3/27/25 08:36,17,82,13.9,,
1034,3/27/25 09:06,19.5,71,14.1,,
1035,3/27/25 09:36,18.5,72.5,13.5,,
1036,3/27/25 10:06,21,66.5,14.5,,
1037,3/27/25 10:36,21.5,64.5,14.5,,
1038,3/27/25 11:06,23,61,15.1,,
1039,3/27/25 11:36,23.5,58.5,14.9,,
1040,3/27/25 12:06,23.5,56.5,14.4,,
1041,3/27/25 12:36,23.5,55.5,14.1,,
1042,3/27/25 13:06,21.5,59.5,13.3,,
1043,3/27/25 13:36,21,63.5,13.8,,
1044,3/27/25 14:06,22,59,13.6,,
1045,3/27/25 14:36,22.5,54.5,12.9,,
1046,3/27/25 15:06,21.5,55.5,12.2,,
1047,3/27/25 15:36,18.5,67,12.3,,
1048,3/27/25 16:06,17,70,11.5,,
1049,3/27/25 16:36,15.5,73.5,10.8,,
1050,3/27/25 17:06,16.5,68.5,10.7,,
1051,3/27/25 17:36,15.5,69.5,10,,
1052,3/27/25 18:06,14.5,74.5,10,,
1053,3/27/25 18:36,13.5,73,8.8,,
1054,3/27/25 19:06,13.5,77.5,9.6,,
1055,3/27/25 19:36,13.5,81,10.3,,
1056,3/27/25 20:06,13.5,81.5,10.4,,
1057,3/27/25 20:36,13.5,78.5,9.8,,
1058,3/27/25 21:06,13.5,79,9.9,,
1059,3/27/25 21:36,13.5,78.5,9.8,,
1060,3/27/25 22:06,13.5,79.5,10,,
1061,3/27/25 22:36,13,83.5,10.3,,
1062,3/27/25 23:06,13,86,10.7,,
1063,3/27/25 23:36,13,84,10.4,,
1064,3/28/25 00:06,12.5,83.5,9.8,,
1065,3/28/25 00:36,12.5,82,9.5,,
1066,3/28/25 01:06,12.5,81,9.3,,
1067,3/28/25 01:36,13,79.5,9.5,,
1068,3/28/25 02:06,13,80,9.6,,
1069,3/28/25 02:36,12.5,82.5,9.6,,
1070,3/28/25 03:06,11.5,85,9.1,,
1071,3/28/25 03:36,11,86.5,8.8,,
1072,3/28/25 04:06,11,88,9.1,,
1073,3/28/25 04:36,10.5,88.5,8.7,,
1074,3/28/25 05:06,11,88.5,9.2,,
1075,3/28/25 05:36,10.5,88,8.6,,
1076,3/28/25 06:06,10,87,7.9,,
1077,3/28/25 06:36,12,81.5,8.9,,
1078,3/28/25 07:06,17,66,10.6,,
1079,3/28/25 07:36,19,58.5,10.7,,
1080,3/28/25 08:06,20.5,53,10.6,,
1081,3/28/25 08:36,21.5,52.5,11.4,,
1082,3/28/25 09:06,22,50.5,11.3,,
1083,3/28/25 09:36,23,46,10.8,,
1084,3/28/25 10:06,23,47,11.1,,
1085,3/28/25 10:36,22.5,50,11.6,,
1086,3/28/25 11:06,23,52.5,12.8,,
1087,3/28/25 11:36,22.5,50.5,11.7,,
1088,3/28/25 12:06,22.5,52,12.2,,
1089,3/28/25 12:36,22,53.5,12.1,,
1090,3/28/25 13:06,22.5,53,12.4,,
1091,3/28/25 13:36,21.5,54,11.8,,
1092,3/28/25 14:06,21,53.5,11.2,,
1093,3/28/25 14:36,21,53,11.1,,
1094,3/28/25 15:06,21.5,50.5,10.8,,
1095,3/28/25 15:36,19,53,9.2,,
1096,3/28/25 16:06,18,57.5,9.5,,
1097,3/28/25 16:36,16,62,8.7,,
1098,3/28/25 17:06,15.5,64.5,8.8,,
1099,3/28/25 17:36,14,61,6.6,,
1100,3/28/25 18:06,13,65,6.6,,
1101,3/28/25 18:36,12.5,67,6.5,,
1102,3/28/25 19:06,12,67,6.1,,
1103,3/28/25 19:36,12,66.5,6,,
1104,3/28/25 20:06,11.5,73,6.8,,
1105,3/28/25 20:36,11.5,73.5,6.9,,
1106,3/28/25 21:06,11.5,74.5,7.1,,
1107,3/28/25 21:36,11,75,6.7,,
1108,3/28/25 22:06,11,72.5,6.3,,
1109,3/28/25 22:36,11.5,70.5,6.3,,
1110,3/28/25 23:06,11.5,74,7,,
1111,3/28/25 23:36,11,78,7.3,,
1112,3/29/25 00:06,11,76.5,7,,
1113,3/29/25 00:36,11,74.5,6.6,,
1114,3/29/25 01:06,11,74,6.6,,
1115,3/29/25 01:36,10.5,76,6.5,,
1116,3/29/25 02:06,10.5,78.5,6.9,,
1117,3/29/25 02:36,10.5,73.5,6,,
1118,3/29/25 03:06,10,77.5,6.3,,
1119,3/29/25 03:36,9.5,82,6.6,,
1120,3/29/25 04:06,9.5,81,6.4,,
1121,3/29/25 04:36,9.5,77.5,5.8,,
1122,3/29/25 05:06,10,74.5,5.7,,
1123,3/29/25 05:36,9.5,78,5.9,,
1124,3/29/25 06:06,9,78.5,5.5,,
1125,3/29/25 06:36,11,72.5,6.3,,
1126,3/29/25 07:06,15,60,7.3,,
1127,3/29/25 07:36,17,53,7.4,,
1128,3/29/25 08:06,18.5,47,7,,
1129,3/29/25 08:36,17.5,50,7,,
1130,3/29/25 09:06,21,45.5,8.8,,
1131,3/29/25 09:36,21.5,42.5,8.2,,
1132,3/29/25 10:06,19.5,47.5,8.1,,
1133,3/29/25 10:36,20.5,45,8.2,,
1134,3/29/25 11:06,22,43.5,9,,
1135,3/29/25 11:36,21,44.5,8.5,,
1136,3/29/25 12:06,21.5,43.5,8.6,,
1137,3/29/25 12:36,21,41.5,7.4,,
1138,3/29/25 13:06,21,42.5,7.8,,
1139,3/29/25 13:36,21,42.5,7.8,,
1140,3/29/25 14:06,20,45,7.7,,
1141,3/29/25 14:36,17.5,55,8.4,,
1142,3/29/25 15:06,17,58,8.7,,
1143,3/29/25 15:36,15.5,61.5,8.1,,
1144,3/29/25 16:06,15.5,63.5,8.6,,
1145,3/29/25 16:36,15,60,7.3,,
1146,3/29/25 17:06,14,62,6.8,,
1147,3/29/25 17:36,13.5,64,6.8,,
1148,3/29/25 18:06,12.5,67.5,6.7,,
1149,3/29/25 18:36,12,68,6.3,,
1150,3/29/25 19:06,18,62,10.6,,
1151,3/29/25 19:36,18,59.5,10,,
1152,3/29/25 20:06,18,59,9.9,,
1153,3/29/25 20:36,17.5,58.5,9.3,,
1154,3/29/25 21:06,17,58.5,8.8,,
1155,3/29/25 21:36,16.5,58.5,8.3,,
1156,3/29/25 22:06,16,58.5,7.9,,
1157,3/29/25 22:36,16,58.5,7.9,,
1158,3/29/25 23:06,15.5,58.5,7.4,,
1159,3/29/25 23:36,15.5,58.5,7.4,,
1160,3/30/25 00:06,15,58.5,6.9,,
1161,3/30/25 00:36,15,58.5,6.9,,
1162,3/30/25 01:06,15,58.5,6.9,,
1163,3/30/25 01:36,14.5,59,6.6,,
1164,3/30/25 02:06,14.5,59,6.6,,
1165,3/30/25 02:36,14.5,59,6.6,,
1166,3/30/25 03:06,14,59.5,6.2,,
1167,3/30/25 03:36,14,59.5,6.2,,
1168,3/30/25 04:06,14,59.5,6.2,,
1169,3/30/25 04:36,14,60,6.4,,
1170,3/30/25 05:06,13.5,60,5.9,,
1171,3/30/25 05:36,13.5,60,5.9,,
1172,3/30/25 06:06,13.5,60,5.9,,
1173,3/30/25 06:36,13.5,60,5.9,,
1174,3/30/25 07:06,13.5,60.5,6,,
1175,3/30/25 07:36,13.5,60.5,6,,
1176,3/30/25 08:06,13.5,60.5,6,,
1177,3/30/25 08:36,13.5,61,6.1,,
1178,3/30/25 09:06,13.5,61,6.1,,
1179,3/30/25 09:36,13.5,61,6.1,,
1180,3/30/25 10:06,14,61.5,6.7,,
1181,3/30/25 10:36,14.5,61.5,7.2,,
1182,3/30/25 11:06,14.5,61.5,7.2,,
1183,3/30/25 11:36,15,61.5,7.7,,
1184,3/30/25 12:06,15,62,7.8,,
1185,3/30/25 12:36,16.5,64,9.7,,